,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
228,2022-06-06 09:31:00-04:00,20220606093100,32.379,31.304,32.884,30.765,150479520,4950969856.0,-5.758,-0.944,False,False,7.776533685156814,False,False,-13.008110615141675,1.6988767049226254,True,False,-107.8066943267562,-63.310015778522526,False,False,False,False,0,0,0,0,0.0
229,2022-06-07 09:31:00-04:00,20220607093100,30.184,32.094,32.329,29.852,137443792,4461700096.0,-5.717,-0.784,False,False,9.474523717401752,False,False,-11.36242737683638,1.6456832383052955,True,False,-107.5547165327511,-62.73836219568811,False,False,False,False,0,0,0,0,0.0
230,2022-06-08 09:31:00-04:00,20220608093100,31.839,31.414,32.694,31.106,112852992,3743395840.0,-5.682,-0.685,False,False,10.660543974437118,False,False,-10.31183276429374,1.050594612542639,True,False,-104.93612030290726,-58.679689174493426,False,False,False,False,0,0,0,0,0.0
231,2022-06-09 09:31:00-04:00,20220609093100,30.834,28.754,32.214,28.604,137979936,4387803136.0,-5.68,-0.737,False,False,10.806036146082597,False,False,-10.995624115284258,-0.6837913509905178,False,True,-111.6227163260279,-69.3014246916854,False,False,False,False,0,0,0,0,0.0
232,2022-06-10 09:31:00-04:00,20220610093100,27.019,25.554,29.134,25.444,171676480,4702879232.0,-5.718,-0.934,False,False,9.065690743360058,False,False,-13.744034090199307,-2.748409974915049,False,True,-123.62237296903743,-88.2987659846864,False,False,True,False,0,0,1,0,-0.046568051968380736
233,2022-06-13 09:31:00-04:00,20220613093100,23.034,21.844,23.674,21.584,213365712,5049169920.0,-5.798,-1.268,False,False,6.515478174713024,False,False,-18.0945554890463,-4.350521398846993,False,True,-140.44878950688835,-115.08555739634464,False,False,False,False,0,0,0,0,0.0
234,2022-06-14 09:31:00-04:00,20220614093100,22.404,21.994,22.834,21.284,196600528,4518119936.0,-5.868,-1.504,False,False,4.591170288619587,False,False,-22.335341867258208,-4.240786378211908,False,True,-140.146475993367,-114.51340869154322,False,False,False,False,0,0,0,0,0.0
235,2022-06-15 09:31:00-04:00,20220615093100,22.824,23.664,24.684,22.164,274911776,6679009792.0,-5.906,-1.582,False,False,4.025395285899336,False,False,-24.982709327783397,-2.6473674605251887,False,True,-132.3585979626733,-102.15347851932236,False,False,False,False,0,0,0,0,0.0
236,2022-06-16 09:31:00-04:00,20220616093100,21.754,20.624,23.484,20.085,212142224,4654400000.0,-5.979,-1.78,False,False,2.302664293503071,False,False,-28.06617416040406,-3.0834648326206633,False,True,-139.89567148086067,-115.61015720183124,False,False,False,False,0,0,0,0,0.0
237,2022-06-17 09:31:00-04:00,20220617093100,20.834,21.434,22.034,20.444,220590544,4984829440.0,-6.031,-1.869,False,False,1.321035907284994,False,False,-30.398960693457383,-2.332786533053323,False,True,-138.87278242229613,-114.24617118944471,False,False,False,False,0,0,0,0,0.0
238,2022-06-21 09:31:00-04:00,20220621093100,22.579,23.144,23.734,22.334,159204144,3908536320.0,-6.053,-1.825,False,False,1.5806187277915669,False,False,-31.10571710961912,-0.7067564161617383,False,True,-129.8418509051817,-98.81089229423208,False,False,False,False,0,0,0,0,0.0
